"","title","year","topic"
"1","[COMPLET]_Sound_bath+_UTF8.txt",2019,5
"2","Adélaïde_Feriot_-_Avaler_l'horizon+_UTF8.txt",2019,4
"3","Conversation_et_concert_autour_de_l'exposition_de_Theaster_Gates+_UTF8.txt",2019,5
"4","Derniers_Narcisses_(Nuit_2)+_UTF8.txt",2019,6
"5","Détruire+_UTF8.txt",2019,6
"6","DO_DISTURB_BY_NIGHT_x_Boiler_Room:4_3+_UTF8.txt",2019,2
"7","DO_DISTURB+_UTF8.txt",2019,3
"8","FALZ_:_JOK'AIR_:_RIM'K+_UTF8.txt",2019,1
"9","Fashion_program_-_Deform+_UTF8.txt",2019,4
"10","Justin_Shoulder+_UTF8.txt",2019,3
"11","La_fin_du_courage+_UTF8.txt",2019,6
"12","La_Nuit_des_Idées_2019+_UTF8.txt",2019,5
"13","La_Voix_Libérée_-_Journée_de_performances+_UTF8.txt",2019,4
"14","Lancement_de_la_revue_2G_consacrée_au_studio_MUOTO+_UTF8.txt",2019,5
"15","Le_Banquet_[COMPLET]+_UTF8.txt",2019,1
"16","Les_Enjeux_du_Goût_et_du_Dégoût+_UTF8.txt",2019,5
"17","Mathilde_Fernandez_&_Cécile_di_Giovanni+_UTF8.txt",2019,3
"18","Miles_Greenberg_copie+_UTF8.txt",2019,3
"19","Miles_Greenberg+_UTF8.txt",2019,3
"20","Nils_Alix-Tabeling,_Madison_Bycroft+_UTF8.txt",2019,3
"21","Nous_avons_la_lune_d'un_autre_temps,_d'un_autre_ciel,_d'un_autre_nom,_entre-temps,_autrement+_UTF8.txt",2019,4
"22","Paris_Ass_Book_Fair_2019+_UTF8.txt",2019,5
"23","Présentation_de_deux_ouvrages_de_Pier_Paolo_Pancotto+_UTF8.txt",2019,5
"24","Prince·sse·s_du_ring+_UTF8.txt",2019,1
"25","Signature_de_""Last_Call""_par_Harry_Gruyaert+_UTF8.txt",2019,5
"26","Signature_de_Atlas_of_Forms_par_Eric_Tabuchi_à_la_librairie+_UTF8.txt",2019,5
"27","Signature_du_livre_NAKBA_DAY_par_Adrien_Vautier+_UTF8.txt",2019,5
"28","Signature_Guillaume_Lafon,_David_Duvshani,_Christelle_Téa+_UTF8.txt",2019,6
"29","Sur_la_page,_abandonnés+_UTF8.txt",2019,5
"30","Un_week-end_au_Palais+_UTF8.txt",2019,1
"31","Waack_in_Palais+_UTF8.txt",2019,1
"32","""O_Universo_nu,_Canção_Nordestina"".txt",2018,4
"33","[COMPLET_]_Voyage_Hypnotique.txt",2018,5
"34","[COMPLET]_Cercle_de_Lune+_UTF8.txt",2018,5
"35","[COMPLET]_Nidra_&_Mantra.txt",2018,5
"36","[COMPLET]_Visite_en_pleine_conscience+_UTF8.txt",2018,5
"37","6.03_(sixzérotrois).txt",2018,4
"38","Aerocene.txt",2018,6
"39","Atelier_ado_""super_grosse_fatigue"".txt",2018,1
"40","Blindfolded_Yoga.txt",2018,5
"41","DANCEHALL_-_La_Nuit_DO_DISTURB.txt",2018,3
"42","Des_mÔments_complètement_tokés.txt",2018,1
"43","Dess(e)ins_croisés,_de_Gilles_Deléris_et_Denis_Gancel.txt",2018,5
"44","DO_DISTURB.txt",2018,3
"45","En_écho_à_l'exposition_de_Tomás.txt",2018,6
"46","Eric_Minh_Cuong_Castaing.txt",2018,1
"47","Fashion_Program.txt",2018,4
"48","Jamila_Johnson-Small.txt",2018,3
"49","Journée_ON_AIR_live_with.txt",2018,6
"50","L'École_des_actes.txt",2018,6
"51","La_Transumante_-_Johann_Le_Guillerm.txt",2018,6
"52","Lancement_«_ORLAN_en_robot_hybride_».txt",2018,6
"53","Lancement_de_Antoine_Lefebvre,_Artiste_Éditeur_à_la_librairie.txt",2018,5
"54","Lancement_du_livre_de_Laurent_Issaurat.txt",2018,5
"55","Le_Toguna.txt",2018,5
"56","Massinissa_Selmani.txt",2018,5
"57","Nous_ne_sommes_pas_des_enfants_!.txt",2018,5
"58","NSDOS.txt",2018,3
"59","Nuit_des_idées.txt",2018,5
"60","Palais_de_Pâques_et_oeufs_de_Tokyo_!.txt",2018,1
"61","Palais_Tango.txt",2018,1
"62","Paris_Ass_Book_Fair.txt",2018,5
"63","Points_de_suspension....txt",2018,6
"64","Re-penser_la_Littérature.txt",2018,5
"65","Regina_Demina.txt",2018,3
"66","Signature_:_performance_de_Christian_Globensky.txt",2018,5
"67","Signature_Alex_Cecchetti.txt",2018,2
"68","Signature_Hanieh_Delecroix.txt",2018,2
"69","Signature_Marion_Bataille.txt",2018,5
"70","Swingin’_Palais.txt",2018,8
"71","Un_week-end_au_Palais.txt",2018,1
"72","une_performance_d'Andrew_Kerton_et_George_Henry_Longly.txt",2018,4
"73","VESTOJ.txt",2018,3
"74","Welcome_to_the_jungle_!.txt",2018,1
"75","""Cuillère""+_UTF8.txt",2017,4
"76","""Réciter_les_langues""+_UTF8.txt",2017,4
"77","“Dessin”+_UTF8.txt",2017,4
"78","“Limited_Moves”+_UTF8.txt",2017,6
"79","“Pupa,_Poubelle_et_les_Bêtes”+_UTF8.txt",2017,4
"80","Atelier_ados_roman_photo_VS_story+_UTF8.txt",2017,1
"81","Atelier_Fanzine+_UTF8.txt",2017,1
"82","Avant-première_du_film_L'ART,_LES_GENS,_L'ARTISTE.txt",2017,5
"83","Ciné-concert_""Bonjour_la_neige""+_UTF8.txt",2017,2
"84","Concert_&_performance+_UTF8.txt",2017,5
"85","Dirty_Pepax_[Les_Lundis_du_Pavillon].txt",2017,8
"86","DJ_set_Tok-Tok_""Des_Monstres_en_Balade_Sonore""+_UTF8.txt",2017,2
"87","DO_DISTURB.txt",2017,3
"88","Episode_1_-_Comment_suspendre_le_temps_?.txt",2017,5
"89","Fashion_Program+_UTF8.txt",2017,4
"90","Happy_end_week-end+_UTF8.txt",2017,8
"91","Inauguration_de_la_librairie_et_signature_de_Kersten_Geers_&_David_Van_Severen+_UTF8.txt",2017,5
"92","James_Joyce_:_Camille_Henrot+_UTF8.txt",2017,5
"93","L'Atelier_des_Regardeurs+_UTF8.txt",2017,5
"94","L’Art_au_centre+_UTF8.txt",2017,8
"95","L’Institut_d’esthétique+_UTF8.txt",2017,3
"96","Lancement_""Du_Sens_dans_l’Utile""_de_Françoise_Darmon_à_la_librairie+_UTF8.txt",2017,5
"97","Lancement_""L’histoire_de_l’art_pour_les_nullissimes""_à_la_librairie+_UTF8.txt",2017,5
"98","Lancement_de_“Projet_Phalanstère_au_CAC_Brétigny”_à_la_librairie+_UTF8.txt",2017,5
"99","Lancement_de_X_Artists’_Books_à_la_librairie+_UTF8.txt",2017,5
"100","Lancement_du_numéro_de_la_revue_2G_sur_l'agence_Bruther_à_la_librairie+_UTF8.txt",2017,5
"101","Mémoires_de_Bamiyan.txt",2017,6
"102","Paul_Maheke+_UTF8.txt",2017,3
"103","Programmation_de_films+_UTF8.txt",2017,3
"104","Quand_le_Palais_fait_son_cinéma…+_UTF8.txt",2017,3
"105","Rencontre_autour_de_l’exposition_de_Mel_O’Callaghan.txt",2017,5
"106","Rencontre_avec_Milovan_Farronato_&_projection_du_film_""Ticket_of_No_Return""_d’Ulrike_Ottinger+_UTF8.txt",2017,5
"107","Signature_d’Henri_Galeron_et_d’Emma_Giulani_à_la_librairie+_UTF8.txt",2017,5
"108","Signature_de_Catherine_Grenier_à_la_librairie+_UTF8.txt",2017,5
"109","Signature_de_Charles_Fréger_à_la_librairie+_UTF8.txt",2017,5
"110","Signature_de_François-Xavier_Courrèges_à_la_librairie+_UTF8.txt",2017,5
"111","Signature_de_Prune_Nourry+_UTF8.txt",2017,5
"112","Signature_de_Victor_Coutard_et_Pooya_Abbasian_à_la_librairie+_UTF8.txt",2017,5
"113","Tomorrow’s_Corporate_Love_(Forgetting_From_Athens)_[Les_Lundis_du_Pavillon].txt",2017,8
"114","Un_week-end_au_Palais+_UTF8.txt",2017,1
